Date,Campaign,Audience,Target_Group,Creative_Family,Creative_Version,Platform,Ad_Format,Goal,Completions,Campaign_Traffic
4/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
5/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),2,General traffic
6/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
11/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),2,General traffic
14/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
18/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),2,General traffic
19/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),2,General traffic
22/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
23/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
26/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
4/5/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
5/5/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
9/5/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
11/5/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),2,General traffic
12/5/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
13/5/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
18/5/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),2,General traffic
19/5/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
27/5/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
31/5/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
1/6/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
6/6/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
7/6/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
13/6/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),2,General traffic
9/5/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
11/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
8/6/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
11/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
1/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),2,General traffic
4/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
5/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),3,General traffic
6/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),2,General traffic
7/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
8/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
13/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
14/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),3,General traffic
15/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
18/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),2,General traffic
19/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),2,General traffic
22/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
23/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
26/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),2,General traffic
3/5/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
4/5/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
5/5/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
9/5/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
9/5/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
11/5/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),2,General traffic
12/5/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
13/5/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),2,General traffic
18/5/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),3,General traffic
19/5/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
25/5/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),3,General traffic
26/5/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
27/5/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
31/5/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),2,General traffic
6/6/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
6/6/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
7/6/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
10/6/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
13/6/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),3,General traffic
6/4/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
11/5/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,2,General traffic
18/5/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,2,General traffic
27/5/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
6/4/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
15/4/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
10/5/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
27/5/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
1/6/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,2,General traffic
11/5/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
21/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
21/4/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
21/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
21/4/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
1/6/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
21/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
21/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
1/6/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
21/4/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
1/6/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
21/4/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
15/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),1,General traffic
25/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),2,General traffic
25/4/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
15/4/2022,NA,NA,NA,NA,NA,NA,NA,Get Approved,1,General traffic
4/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
8/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
14/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
18/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
26/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
3/5/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
1/6/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
3/6/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
8/6/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),3,General traffic
10/6/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
5/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
26/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
9/5/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
14/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
1/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
4/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
8/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
14/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
18/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
25/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
3/5/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
20/5/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),2,General traffic
25/5/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
26/5/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
1/6/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
3/6/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),3,General traffic
8/6/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),3,General traffic
10/6/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
13/4/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
14/4/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
18/4/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
26/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
27/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
21/5/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
1/6/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
3/6/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,3,General traffic
26/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Our Story),1,General traffic
25/4/2022,NA,NA,NA,NA,NA,NA,NA,Form Submission,1,General traffic
25/4/2022,NA,NA,NA,NA,NA,NA,NA,Broker Login,1,General traffic
29/5/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
29/5/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
29/5/2022,NA,NA,NA,NA,NA,NA,NA,Form Submission,1,General traffic
29/5/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
9/6/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),1,General traffic
9/6/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
9/6/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Our Story),1,General traffic
29/4/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
9/6/2022,NA,NA,NA,NA,NA,NA,NA,Get Approved,1,General traffic
5/5/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
9/6/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
9/6/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
9/6/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
13/6/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
31/5/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
17/5/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
3/5/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
4/4/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
19/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
19/4/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
26/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
27/4/2022,NA,NA,NA,NA,NA,NA,NA,Get Approved,1,General traffic
27/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
1/5/2022,NA,NA,NA,NA,NA,NA,NA,Get Approved,1,General traffic
2/5/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Our Story),1,General traffic
3/5/2022,NA,NA,NA,NA,NA,NA,NA,Home Page Video Play,1,General traffic
3/5/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
4/5/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
10/5/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
11/5/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),2,General traffic
11/5/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,3,General traffic
15/5/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),1,General traffic
17/5/2022,NA,NA,NA,NA,NA,NA,NA,Get Approved,1,General traffic
20/5/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
21/5/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),2,General traffic
23/5/2022,NA,NA,NA,NA,NA,NA,NA,Get Approved,1,General traffic
23/5/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
24/5/2022,NA,NA,NA,NA,NA,NA,NA,Get Approved,1,General traffic
26/5/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
31/5/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
1/6/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
1/6/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
3/6/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
6/6/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
7/6/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),1,General traffic
7/6/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
9/6/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
10/6/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),1,General traffic
13/6/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),2,General traffic
25/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
17/5/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
21/5/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
26/5/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
2/5/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
23/5/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
11/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
17/5/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
19/5/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
25/5/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
17/5/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
23/5/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
21/5/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
11/5/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
1/6/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
19/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),3,General traffic
20/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
2/5/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
10/5/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
20/5/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
25/5/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
1/6/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),2,General traffic
3/6/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
6/6/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
7/6/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
4/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
24/5/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
19/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),2,General traffic
20/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
22/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
2/5/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
11/5/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
23/5/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
31/5/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
1/6/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
22/4/2022,NA,NA,NA,NA,NA,NA,NA,Get Approved,1,General traffic
26/5/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
26/5/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
8/6/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Our Story),1,General traffic
16/5/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
8/6/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
16/5/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
8/6/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
12/5/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
2/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
5/5/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
2/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
7/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
6/6/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
7/4/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
5/6/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
7/6/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
26/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
9/5/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
24/5/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
25/5/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
3/6/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
10/6/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
14/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
6/5/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
24/5/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
10/6/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
6/5/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
26/5/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
3/6/2022,NA,NA,NA,NA,NA,NA,NA,Get Approved,1,General traffic
7/6/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
29/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
9/5/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
11/5/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
13/5/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),2,General traffic
25/5/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
26/5/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
2/6/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
9/6/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
5/6/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
2/6/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
15/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
29/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
13/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
15/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
5/5/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
13/4/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
15/4/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
18/4/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
5/5/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
31/5/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
1/6/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),2,General traffic
3/6/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
4/6/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),1,General traffic
6/6/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
3/6/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
31/5/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
1/6/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
4/6/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
1/6/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
4/6/2022,NA,NA,NA,NA,NA,NA,NA,Get Approved,1,General traffic
31/5/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
1/6/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
3/6/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
6/6/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
3/6/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
1/6/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
1/6/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
24/5/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
30/5/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),1,General traffic
2/6/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,1,General traffic
3/6/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic
7/6/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Our Story),1,General traffic
23/5/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),1,General traffic
